TE	RMSE	sigma
130.000000	7.553587	7.409183
140.000000	7.813169	7.713167
40.000000	3.980822	3.959743
30.000000	3.472435	3.413821
200.000000	9.801698	9.287944
100.000000	6.474650	6.404215
90.000000	6.156564	6.040155
170.000000	8.779367	8.534547
120.000000	7.117028	6.992360
150.000000	8.098583	7.900267
190.000000	9.456395	9.126244
70.000000	5.338221	5.314694
160.000000	8.534355	8.374107
60.000000	4.913989	4.827128
80.000000	5.743554	5.664107
180.000000	9.180260	8.763126
110.000000	6.802224	6.666359
50.000000	4.490104	4.458757
