TE	MAE	RMS
130.000000	20.291356	150.413789
140.000000	21.675725	161.817716
40.000000	6.844150	46.812748
30.000000	5.301821	35.207793
200.000000	30.252957	230.345728
100.000000	15.981901	116.121395
90.000000	14.449224	104.569888
170.000000	26.071314	196.223711
120.000000	18.838521	138.973982
150.000000	23.145002	173.274086
190.000000	28.825371	218.950994
70.000000	11.456775	81.543955
160.000000	24.677500	184.809096
60.000000	9.878293	69.930310
80.000000	12.969334	93.069909
180.000000	27.326693	207.431425
110.000000	17.408501	127.544935
50.000000	8.335037	58.339792
