TE	MAE	RMS
130.000000	6.288003	127.242522
140.000000	6.571236	136.975598
40.000000	3.321967	38.822963
30.000000	2.913859	28.920117
200.000000	8.350606	195.463679
100.000000	5.356476	97.974505
90.000000	5.072720	88.115597
170.000000	7.438755	166.340774
120.000000	5.952819	117.478754
150.000000	6.818097	146.753468
190.000000	8.060442	185.738345
70.000000	4.412964	68.463659
160.000000	7.177137	156.598530
60.000000	4.068809	58.551948
80.000000	4.739255	78.300660
180.000000	7.781003	175.906493
110.000000	5.669013	107.724263
50.000000	3.735197	48.660236
